k_rock,rho_cp_rock,gradT,u_inf,mass_flow,depth,l_horiz
2.703214096,3071489.359,0.099878701,0.031154542,12.35766091,2071.358581,4545.62051
3.278865037,4006700.683,0.039785918,0.12422027,12.44970787,4973.22884,2830.058057
2.729984582,2112199.525,0.089816878,-2.707592413,4.787682238,4450.95138,1404.481179
2.252816546,4140112.268,0.09378313,-0.10846115,4.191654109,4645.398744,2657.003757
3.189045802,2756238.959,0.051143103,-0.269984106,4.438545781,4721.608408,4822.829393
4.323571694,3324228.274,0.058823948,-1.085562833,7.757367023,3061.203131,1396.298405
2.436656952,4014581.18,0.116012598,-1.102214202,3.827920324,3556.990952,4838.341763
2.486401098,3667487.329,0.09101256,-2.249713858,10.27508278,2771.655798,1581.042017
4.859000189,3264202.774,0.029258294,-0.503238637,5.317522289,2314.267213,1924.151954
1.778894334,2604721.449,0.10516626,-2.093214026,10.2789476,3383.415055,1463.060917
5.232731006,4189303.804,0.10076246,-1.94894363,4.156249384,3718.049422,128.3815851
1.608709703,2815036.622,0.119001457,-0.043993126,10.34816267,3413.308881,4139.780425
2.717934405,4104940.118,0.10595641,-2.279313162,9.921058494,2440.979865,2744.04566
3.540397074,2374908.754,0.031859858,0.670189409,2.788812212,4389.544864,3893.408215
3.393201782,2963048.149,0.054777543,-0.899663947,9.90604226,3443.00137,3006.241455
2.79565547,2101370.115,0.053324636,-2.894116462,3.844478982,2324.241511,1224.723856
2.592258454,2369854.341,0.08680115,0.78382419,9.362264165,3387.12179,585.5216009
2.275702094,3888730.538,0.027312956,-0.372804465,2.806823375,3871.069316,598.7267419
3.601338186,4193594.093,0.113075907,-0.433916152,7.88801453,4660.081886,2783.560967
1.938299125,3820370.479,0.070395375,-0.247366186,12.39200058,4575.316367,2990.736713
2.141701196,2417948.584,0.095705624,-2.440850064,9.855850265,2182.790695,2943.625004
2.038604332,3108271.537,0.02594985,0.108461103,8.14562571,2935.27481,3615.255135
1.765505088,2912933.066,0.071399645,-2.663964104,4.66751072,4068.084945,1769.461228
2.565408743,3780840.897,0.029834379,-1.150756826,8.819512177,4349.267803,2465.389654
2.479718132,3446976.602,0.039158012,0.929115799,6.720612546,2493.124669,2336.927653
2.908286955,3114512.961,0.069692347,-0.436694106,8.862627898,3454.908343,3338.170881
2.000309525,2443289.079,0.104859503,-0.935973554,5.269218497,3566.055525,4782.485339
3.866485869,3875901.32,0.082302867,-2.903740986,3.207421732,3416.761869,3871.356365
2.824147243,2502757.93,0.099848976,-0.766102441,11.58711458,4250.028799,4578.518501
1.707823414,2550572.699,0.081750356,-2.932482839,4.178522379,2429.884613,167.3725434
4.839049918,3549021.997,0.06212363,-2.410439458,7.061374077,2292.319152,668.6727038
3.018396506,2452751.76,0.073242087,-2.466645371,12.18480672,2979.947335,2488.310175
4.948084099,2695325.651,0.084892389,-2.128557718,6.966332643,3273.302993,1516.228484
3.452342821,2774398.354,0.031019067,-1.157968118,3.214352337,2938.008501,1383.779721
2.601277587,3777663.403,0.117241149,-2.655165881,9.79631205,3203.907882,2411.958455
3.828801193,3792371.443,0.068277931,-1.261020496,4.647567476,3666.031684,3991.59535
4.988684875,2515811.981,0.095618511,-1.492686049,2.633735707,3853.953029,180.9565124
3.0083399,2207597.689,0.079024239,0.303342386,4.831971871,3154.565112,3756.832672
2.664783759,3689437.046,0.092915459,-1.186020554,11.64661827,3361.415688,869.3925657
2.628064366,3106056.393,0.092407833,-1.424793332,6.601677532,3604.375905,2159.299131
3.086050002,3119256.493,0.049578967,-2.784959215,3.55679799,3686.436678,3368.072248
4.727058004,3913795.34,0.087078209,-2.391206676,8.456642013,2494.958616,2791.377268
4.358709591,2354929.128,0.090007613,0.341893137,6.848319608,2479.043651,4.986438631
3.92719425,3615044.489,0.022121318,-0.383931001,3.79861052,4745.797161,3589.617871
2.118011701,2961598.982,0.083109603,-0.146855274,9.353718109,4275.516125,1771.194742
2.610312881,2573989.234,0.043235417,0.929643096,2.809944931,3669.920277,684.0501958
2.685117519,2313932.718,0.024010177,-0.586796951,11.33058471,4812.272877,1786.10859
2.686030094,3088860.222,0.078264914,0.89040916,5.413690064,3274.980747,295.595585
4.754382442,3594234.897,0.062059713,0.200458954,3.240619842,3865.997345,1555.158392
1.735944221,3116123.574,0.088671594,-2.043748918,5.252524645,3183.356668,3834.514459
3.496570645,3090623.177,0.068830871,-0.387387451,6.076234571,4332.016474,1173.194956
4.869885052,2634594.415,0.085043778,0.965569347,8.511841994,4680.26468,1069.74124
2.533205784,3508563.102,0.115369992,-0.972253755,4.286373853,4032.523676,1087.470611
4.46061273,3319435.225,0.049145447,0.421607424,10.831045,3543.991222,1640.953926
1.839269256,2215864.998,0.117357922,-0.608778541,3.05734489,3265.484355,2525.043395
2.027713871,4184502.861,0.063641152,-0.188007922,12.16544717,2058.189796,4021.111076
4.782189053,3688966.178,0.112679131,-0.793329885,8.904732872,2566.466369,2387.878597
4.781422329,3232918.113,0.100801937,-0.35253719,9.656341446,2378.065753,3945.975198
2.398512199,3055924.467,0.065583023,-2.65186428,10.23207616,3144.514338,4184.315963
2.661944486,2762956.468,0.112604402,-1.584639852,3.622542411,3525.522544,535.461637
2.971855294,3607320.935,0.106166806,-0.843455079,3.137973278,2302.427101,3837.962141
4.212825005,3617862.072,0.074161137,-1.20592599,6.658289028,3208.937074,1040.325127
2.083440201,3182714.994,0.109081292,0.172344178,3.672722507,4976.732754,2317.79784
2.724214345,3515786.924,0.044589853,-1.650161592,4.484441991,3140.912713,198.6906052
4.331462203,3741836.028,0.06084067,-1.702857676,7.46644883,4420.275074,1639.10724
4.295471494,2544030.555,0.112629955,-1.796546263,7.219146072,4937.978874,2812.744168
4.587386925,3095951.261,0.03062544,-0.451647472,11.010613,4143.468606,1906.145471
2.842819462,3618175.097,0.091489685,-0.762582597,9.78188346,4273.68265,2688.579186
2.159623566,2400695.178,0.033959774,0.188206378,10.75538762,4731.112917,878.771201
3.405905006,3469289.642,0.083792689,0.471631376,5.747053921,2316.085783,4328.83323
4.298243025,2858711.221,0.069630162,0.05413026,5.494435192,2767.191473,477.7797259
5.100538166,2262760.489,0.024737625,0.176015174,7.108687822,2044.718364,1214.938959
2.179768128,2657102.187,0.112163551,0.887835369,5.849149746,3213.32472,3354.439252
4.654314467,3974892.92,0.100999319,-0.952661316,11.52535709,4383.976323,1315.574095
3.404925436,2298404.36,0.039702869,-2.045755797,7.679528692,2917.745618,207.3230055
2.817882584,2705114.05,0.060380166,-2.283473719,6.684070558,4673.927816,200.6962386
